Title: The Next Generation Atlas of Quasar Spectral Energy Distributions from
       Radio to X-rays
Authors: Shang Z., Brotherton M.S., Wills B.J., Wills D., Cales S.L.,
         Dale D.A., Green R.F., Runnoe J.C., Nemmen R.S., Gallagher S.C.,
         Ganguly R., Hines D.C., Kelly .J., Kriss G.A., Li J., Tang B., Xie Y.
Table: Median SEDs for radio-loud and radio-quiet samples
================================================================================
Byte-by-byte Description of file: datafile6.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  5 A5     ---   Type   Quasar type
   7- 13 F7.4   [Hz]  lognu  Log frequency
  15- 22 F8.5   [-]   logF   Log {nu}F_{nu}_
  24- 25 I2     ---   Num    Number of objects used in sample
  27- 31 F5.3   ---   sigma  Standard deviation
--------------------------------------------------------------------------------
Loud  15.2375  0.25494 58 0.116
Loud  15.2422  0.24177 58 0.120
Loud  15.2469  0.25371 58 0.119
Loud  15.2516  0.28397 58 0.119
Loud  15.2563  0.33633 58 0.116
Loud  15.2610  0.35498 58 0.120
Loud  15.2657  0.34644 58 0.120
Loud  15.2704  0.33368 58 0.116
Loud  15.2751  0.37105 58 0.123
Loud  15.2798  0.46097 58 0.145
Loud  15.2845  0.64443 58 0.185
Loud  15.2892  0.62534 58 0.199
Loud  15.2939  0.44603 58 0.148
Loud  15.2986  0.34569 58 0.131
Loud  15.3033  0.31726 58 0.130
Loud  15.3080  0.28819 58 0.128
Loud  15.3127  0.25506 58 0.129
Loud  15.3174  0.25269 58 0.132
Loud  15.3221  0.27645 58 0.131
Loud  15.3268  0.31989 58 0.127
Loud  15.3315  0.37115 58 0.134
Loud  15.3362  0.31783 58 0.135
Loud  15.3409  0.28949 58 0.135
Loud  15.3456  0.27722 58 0.135
Loud  15.3503  0.28770 58 0.135
Loud  15.3550  0.29409 58 0.129
Loud  15.3597  0.32007 58 0.133
Loud  15.3644  0.31746 58 0.134
Loud  15.3691  0.31186 58 0.131
Loud  15.3738  0.36887 58 0.130
Loud  15.3785  0.43857 58 0.136
Loud  15.3832  0.58239 58 0.157
Loud  15.3879  0.67982 57 0.169
Loud  15.3926  0.89991 57 0.214
Loud  15.3973  0.64876 56 0.184
Loud  15.4020  0.45648 56 0.159
Loud  15.4067  0.35848 56 0.148
Loud  15.4114  0.28589 54 0.148
Loud  15.4161  0.25919 53 0.150
Loud  15.4208  0.26132 50 0.148
Loud  15.4255  0.25453 47 0.157
Loud  15.4302  0.23640 46 0.159
Loud  15.4349  0.23284 45 0.155
Loud  15.4396  0.24498 45 0.157
Loud  15.4443  0.26259 44 0.160
Loud  15.4490  0.28043 42 0.161
Loud  15.4537  0.30132 42 0.146
Loud  15.4584  0.35202 41 0.156
Loud  15.4631  0.44309 40 0.196
Loud  15.4678  0.36536 40 0.186
Loud  15.4725  0.27250 38 0.197
Loud  15.4772  0.26302 36 0.188
Loud  15.4819  0.29111 35 0.186
Loud  15.4866  0.28414 34 0.175
Loud  15.4913  0.25990 32 0.194
Loud  15.4960  0.23512 29 0.179
Loud  15.5007  0.20604 26 0.203
Loud  15.5054  0.24534 25 0.225
Loud  15.5101  0.18512 23 0.245
Loud  15.5148  0.23426 18 0.239
Loud  15.5195  0.18650 16 0.223
Loud  15.5242  0.18588 16 0.247
Loud  15.5289  0.16482 15 0.223
Loud  15.5336  0.16135 15 0.253
Loud  15.5383  0.17330 14 0.241
Loud  15.5430  0.15730 13 0.213
Loud  15.5477  0.19653 12 0.230
Loud  16.6408 -0.55080 27 0.559
Loud  17.0025 -0.61027 33 0.433
Loud  17.3642 -0.69697 46 0.517
Loud  17.7258 -0.63492 48 0.490
Loud  18.0875 -0.56260 42 0.522
Loud  18.4492 -0.47035 21 0.614
Quiet  9.3200 -5.27130 10 0.223
Quiet  9.8300 -5.67468 25 0.571
Quiet 12.4125 -1.12486 27 0.927
Quiet 12.6775 -0.44957 27 0.498
Quiet 12.9253 -0.29438  8 0.330
Quiet 12.9560 -0.16953 20 0.317
Quiet 12.9867 -0.19885 24 0.327
Quiet 13.0173 -0.18582 25 0.334
Quiet 13.0480 -0.16006 26 0.335
Quiet 13.0787 -0.14026 26 0.319
Quiet 13.1093 -0.14879 27 0.316
Quiet 13.1400 -0.15013 27 0.301
Quiet 13.1707 -0.11430 27 0.289
Quiet 13.2013 -0.08960 27 0.279
Quiet 13.2320 -0.06341 27 0.269
Quiet 13.2627 -0.06598 27 0.265
Quiet 13.2933 -0.08422 27 0.256
Quiet 13.3240 -0.10077 27 0.251
Quiet 13.3547 -0.10860 27 0.240
Quiet 13.3853 -0.07844 27 0.231
Quiet 13.4160 -0.05521 27 0.218
Quiet 13.4467 -0.08165 27 0.208
Quiet 13.4773 -0.09332 27 0.200
Quiet 13.5080 -0.10673 27 0.197
Quiet 13.5387 -0.09218 27 0.203
Quiet 13.5693 -0.10207 27 0.202
Quiet 13.6000 -0.09939 27 0.204
Quiet 13.6307 -0.10784 27 0.194
Quiet 13.6613 -0.09365 27 0.192
Quiet 13.6920 -0.08868 27 0.193
Quiet 13.7227 -0.08408 27 0.191
Quiet 13.7533 -0.08292 27 0.201
Quiet 13.7840 -0.07555 27 0.188
Quiet 13.8147 -0.03046 20 0.197
Quiet 14.2067 -0.10438 24 0.169
Quiet 14.3200 -0.32485 27 0.198
Quiet 14.4333 -0.32465 27 0.216
Quiet 14.5525 -0.04782  8 0.140
Quiet 14.5575 -0.07510  9 0.099
Quiet 14.5625 -0.06375  9 0.090
Quiet 14.5675 -0.03632 12 0.101
Quiet 14.5725 -0.00183 13 0.089
Quiet 14.5775 -0.04934 16 0.070
Quiet 14.5825 -0.03011 16 0.070
Quiet 14.5875 -0.02936 16 0.074
Quiet 14.5925 -0.05769 18 0.084
Quiet 14.5975 -0.04737 18 0.084
Quiet 14.6025 -0.04936 18 0.071
Quiet 14.6075 -0.05215 18 0.077
Quiet 14.6125 -0.04912 19 0.076
Quiet 14.6175 -0.05935 19 0.075
Quiet 14.6225 -0.05273 19 0.078
Quiet 14.6275 -0.03774 23 0.070
Quiet 14.6325 -0.06648 25 0.070
Quiet 14.6375 -0.07186 25 0.071
Quiet 14.6425 -0.05871 25 0.066
Quiet 14.6475 -0.02770 25 0.070
Quiet 14.6525  0.04681 26 0.074
Quiet 14.6575  0.43324 27 0.083
Quiet 14.6625  0.37648 27 0.113
Quiet 14.6675  0.03473 27 0.064
Quiet 14.6725 -0.02601 27 0.057
Quiet 14.6775 -0.03678 27 0.057
Quiet 14.6825 -0.05749 27 0.053
Quiet 14.6875 -0.06655 27 0.057
Quiet 14.6925 -0.06346 27 0.063
Quiet 14.6975 -0.06965 27 0.055
Quiet 14.7025 -0.05828 27 0.055
Quiet 14.7075 -0.02156 27 0.056
Quiet 14.7125 -0.06143 27 0.063
Quiet 14.7175 -0.07336 27 0.059
Quiet 14.7225 -0.07073 27 0.055
Quiet 14.7275 -0.07408 27 0.053
Quiet 14.7325 -0.06809 27 0.045
Quiet 14.7375 -0.06507 27 0.045
Quiet 14.7425 -0.06952 27 0.040
Quiet 14.7475 -0.03984 27 0.036
Quiet 14.7525 -0.00209 27 0.034
Quiet 14.7575 -0.00442 27 0.030
Quiet 14.7625  0.00036 27 0.028
Quiet 14.7675 -0.04165 27 0.029
Quiet 14.7725 -0.02348 27 0.027
Quiet 14.7775  0.08221 27 0.079
Quiet 14.7825  0.05160 27 0.056
Quiet 14.7875  0.17940 27 0.039
Quiet 14.7925  0.17899 27 0.042
Quiet 14.7975 -0.00436 27 0.038
Quiet 14.8025 -0.00501 27 0.030
Quiet 14.8075  0.02903 27 0.029
Quiet 14.8125  0.04228 27 0.020
Quiet 14.8175  0.05560 27 0.029
Quiet 14.8225  0.05131 27 0.027
Quiet 14.8275  0.02103 27 0.012
Quiet 14.8325  0.03409 27 0.010
Quiet 14.8375  0.12445 27 0.025
Quiet 14.8425  0.08256 27 0.016
Quiet 14.8475  0.02051 27 0.013
Quiet 14.8525  0.00430 27 0.005
Quiet 14.8575  0.02190 27 0.009
Quiet 14.8625  0.07021 27 0.024
Quiet 14.8675  0.04796 27 0.014
Quiet 14.8725  0.02855 27 0.013
Quiet 14.8775  0.06073 27 0.023
Quiet 14.8825  0.06140 27 0.022
Quiet 14.8875  0.10636 27 0.031
Quiet 14.8925  0.09768 27 0.031
Quiet 14.8975  0.09429 27 0.034
Quiet 14.9025  0.12272 27 0.034
Quiet 14.9075  0.13381 27 0.044
Quiet 14.9125  0.13940 27 0.042
Quiet 14.9175  0.15549 27 0.044
Quiet 14.9225  0.15381 27 0.046
Quiet 14.9275  0.14814 27 0.049
Quiet 14.9325  0.17143 27 0.049
Quiet 14.9375  0.17358 27 0.052
Quiet 14.9425  0.20236 27 0.057
Quiet 14.9475  0.17872 27 0.054
Quiet 14.9525  0.19565 27 0.057
Quiet 14.9575  0.19162 27 0.058
Quiet 14.9625  0.19740 27 0.060
Quiet 14.9675  0.20528 27 0.063
Quiet 14.9725  0.20510 27 0.066
Quiet 14.9775  0.20996 27 0.065
Quiet 14.9825  0.20118 27 0.066
Quiet 14.9875  0.17780 27 0.071
Quiet 14.9925  0.18043 27 0.076
Quiet 14.9975  0.18732 27 0.083
Quiet 15.0025  0.22592 27 0.082
Quiet 15.0075  0.24005 27 0.091
Quiet 15.0125  0.22802 27 0.084
Quiet 15.0175  0.23739 27 0.080
Quiet 15.0225  0.26425 27 0.084
Quiet 15.0275  0.35460 27 0.103
Quiet 15.0325  0.35522 27 0.112
Quiet 15.0375  0.25805 27 0.087
Quiet 15.0425  0.23143 27 0.090
Quiet 15.0475  0.22128 27 0.097
Quiet 15.0525  0.21674 27 0.096
Quiet 15.0575  0.23297 27 0.098
Quiet 15.0625  0.23911 27 0.098
Quiet 15.0675  0.24108 27 0.095
Quiet 15.0725  0.24398 27 0.098
Quiet 15.0775  0.25588 27 0.093
Quiet 15.0825  0.25429 27 0.093
Quiet 15.0875  0.24131 27 0.095
Quiet 15.0925  0.25190 27 0.097
Quiet 15.0975  0.23776 27 0.098
Quiet 15.1025  0.23276 27 0.101
Quiet 15.1075  0.24260 27 0.103
Quiet 15.1125  0.23016 27 0.106
Quiet 15.1175  0.22577 27 0.110
Quiet 15.1225  0.20511 27 0.112
Quiet 15.1275  0.19924 27 0.114
Quiet 15.1325  0.19482 27 0.116
Quiet 15.1375  0.20099 27 0.120
Quiet 15.1425  0.21017 27 0.122
Quiet 15.1475  0.22219 27 0.126
Quiet 15.1525  0.23380 27 0.125
Quiet 15.1575  0.24646 27 0.128
Quiet 15.1625  0.25189 27 0.129
Quiet 15.1675  0.23302 27 0.127
Quiet 15.1725  0.23708 27 0.129
Quiet 15.1775  0.23996 27 0.136
Quiet 15.1825  0.24131 27 0.136
Quiet 15.1875  0.27576 27 0.136
Quiet 15.1925  0.32808 27 0.121
Quiet 15.1975  0.43986 27 0.121
Quiet 15.2025  0.34974 27 0.130
Quiet 15.2075  0.31426 27 0.141
Quiet 15.2125  0.28053 27 0.143
Quiet 15.2175  0.28880 27 0.147
Quiet 15.2225  0.25697 27 0.149
Quiet 15.2275  0.27162 27 0.153
Quiet 15.2325  0.29288 27 0.156
Quiet 15.2375  0.27814 27 0.157
Quiet 15.2425  0.28577 27 0.166
Quiet 15.2475  0.26921 27 0.169
Quiet 15.2525  0.28914 27 0.158
Quiet 15.2575  0.33796 27 0.150
Quiet 15.2625  0.36512 27 0.149
Quiet 15.2675  0.33644 27 0.159
Quiet 15.2725  0.31062 27 0.169
Quiet 15.2775  0.33864 27 0.170
Quiet 15.2825  0.45125 27 0.180
Quiet 15.2875  0.71826 27 0.187
Quiet 15.2925  0.54071 27 0.197
Quiet 15.2975  0.34396 27 0.185
Quiet 15.3025  0.30189 27 0.183
Quiet 15.3075  0.30490 27 0.187
Quiet 15.3125  0.26751 27 0.193
Quiet 15.3175  0.26797 27 0.191
Quiet 15.3225  0.29092 27 0.195
Quiet 15.3275  0.35040 27 0.187
Quiet 15.3325  0.43556 27 0.180
Quiet 15.3375  0.30841 27 0.188
Quiet 15.3425  0.28586 27 0.194
Quiet 15.3475  0.28022 27 0.197
Quiet 15.3525  0.29776 27 0.196
Quiet 15.3575  0.29483 27 0.198
Quiet 15.3625  0.34601 27 0.191
Quiet 15.3675  0.28635 27 0.201
Quiet 15.3725  0.32016 27 0.202
Quiet 15.3775  0.40509 27 0.202
Quiet 15.3825  0.56762 27 0.186
Quiet 15.3875  0.68298 27 0.188
Quiet 15.3925  0.98173 27 0.164
Quiet 15.3975  0.65967 27 0.187
Quiet 15.4025  0.44093 27 0.210
Quiet 15.4075  0.33923 27 0.212
Quiet 15.4125  0.26244 27 0.229
Quiet 15.4175  0.28760 27 0.233
Quiet 15.4225  0.29388 27 0.243
Quiet 15.4275  0.31985 27 0.246
Quiet 15.4325  0.29530 27 0.246
Quiet 15.4375  0.27394 27 0.247
Quiet 15.4425  0.31945 27 0.248
Quiet 15.4475  0.34183 27 0.240
Quiet 15.4525  0.31951 27 0.254
Quiet 15.4575  0.37874 26 0.246
Quiet 15.4625  0.61765 26 0.226
Quiet 15.4675  0.49164 26 0.255
Quiet 15.4725  0.40333 23 0.269
Quiet 15.4775  0.36185 21 0.253
Quiet 15.4825  0.37377 21 0.224
Quiet 15.4875  0.39205 21 0.225
Quiet 15.4925  0.37156 21 0.259
Quiet 15.4975  0.32078 21 0.260
Quiet 15.5025  0.36710 21 0.277
Quiet 15.5075  0.34691 20 0.276
Quiet 15.5125  0.33956 20 0.269
Quiet 15.5175  0.30957 20 0.254
Quiet 15.5225  0.31028 19 0.277
Quiet 15.5275  0.30534 18 0.319
Quiet 15.5325  0.29616 18 0.300
Quiet 15.5375  0.29677 16 0.314
Quiet 15.5425  0.28650 15 0.342
Quiet 15.5475  0.30672 13 0.320
Quiet 17.0713 -0.51390 23 0.637
Quiet 17.4538 -0.78827 23 0.697
Quiet 17.8363 -0.97541 23 0.751
Quiet 18.2188 -0.96462 16 0.256
